,zip,n_lat,n_lon,customer_id,first_name,last_name,street,louvein_community,city
0,94002,37.52060596046,-122.29822615354533,8103,Karil,Gives,458 Welch Avenue,7894,Belmont
1,94002,37.51383970236597,-122.28987271576044,8100,Mercy,Blunsden,173 Fairview Pass,7891,Belmont
2,94002,37.51035321477001,-122.30101103052992,8101,Levey,Duval,512 Melby Hill,7892,Belmont
3,94002,37.51417630290131,-122.30640370041151,8102,Margot,MacGiany,12 Fordem Crossing,7893,Belmont
4,94005,37.68234820825751,-122.40670651156839,7158,Malissa,Latek,8346 Fieldstone Park,6860,Brisbane
5,94005,37.68314743496997,-122.42577411288882,7193,Charin,Harbertson,67068 Kingsford Parkway,6882,Brisbane
6,94005,37.69399402240837,-122.40638380941147,7192,Mallory,O'Gaven,5 Logan Drive,6881,Brisbane
7,94005,37.69520510152319,-122.41726228968619,7191,Onofredo,Martinolli,49 Harbort Parkway,6881,Brisbane
8,94005,37.698993989295865,-122.40572078460863,7190,Gilli,Cleworth,2107 Division Drive,6881,Brisbane
9,94005,37.68321598513339,-122.40961149963502,7189,Kaja,Killiner,2122 Eagle Crest Plaza,6860,Brisbane
10,94005,37.682674402903395,-122.41440936175314,7188,Trever,Wais,13540 Manitowish Lane,6860,Brisbane
11,94005,37.69105512197937,-122.4143042417876,7187,Meryl,Fosserd,11 Upham Street,6881,Brisbane
12,94005,37.68336480264473,-122.40701915414567,7186,Lucius,Gawne,6586 Dorton Alley,6860,Brisbane
13,94005,37.68637748185005,-122.41824447877593,7185,Donielle,Love,6 Kensington Crossing,6881,Brisbane
14,94005,37.69717155464713,-122.3976082415064,7184,Stirling,Taplin,29391 Macpherson Way,6872,Brisbane
15,94005,37.690957474123756,-122.41112252187122,7183,Trent,Rennison,34 Thierer Park,6881,Brisbane
16,94005,37.697296663264055,-122.4091209379371,7182,Muffin,Crose,951 Johnson Crossing,6881,Brisbane
17,94005,37.68602971854244,-122.41062157360473,7181,Fraser,Vasser,6313 Warbler Circle,6860,Brisbane
18,94005,37.68720275088046,-122.4099590326042,7180,Candie,Dayne,807 Roth Road,6860,Brisbane
19,94005,37.69170147576017,-122.41030950065091,7179,Langsdon,Neiland,64 Hansons Pass,6881,Brisbane
20,94005,37.69231819869356,-122.4073424893736,7178,Camel,Mertgen,769 Portage Center,6881,Brisbane
21,94005,37.689194585312194,-122.41985122286536,7177,Alicea,Lindro,6875 Darwin Plaza,6881,Brisbane
22,94005,37.692409704009215,-122.40807808198817,7176,Caralie,Phuprate,28 Bowman Junction,6881,Brisbane
23,94005,37.697990490773094,-122.40290096635312,7175,Baryram,Rainbow,4678 Lukken Court,6881,Brisbane
24,94005,37.68922498253838,-122.41746022049381,7174,Stavro,Sweett,69 Graceland Lane,6881,Brisbane
25,94005,37.682011692210814,-122.40387815241765,7173,Joshuah,MacFadzan,135 Di Loreto Park,6860,Brisbane
26,94005,37.68265726231511,-122.41131591212218,7172,Francois,Farish,1 Texas Trail,6860,Brisbane
27,94005,37.68188633391911,-122.4162358760892,7171,Byrann,Feechum,5 Tony Plaza,6860,Brisbane
28,94005,37.693667570501205,-122.41697980586363,7170,Marcelia,Cuxson,30294 Clyde Gallagher Avenue,6881,Brisbane
29,94005,37.6900937507487,-122.41469710822707,7169,Brianne,Witherup,3547 Summit Hill,6881,Brisbane
30,94005,37.68259723795809,-122.39897573126558,7168,Ashly,Lindup,47 Fieldstone Parkway,6860,Brisbane
31,94005,37.6719768219108,-122.40787526778125,7167,Sammy,Devine,35 Iowa Place,6853,Brisbane
32,94005,37.67997544128163,-122.41250378258896,7166,Riva,Schoolcroft,64581 Atwood Junction,6860,Brisbane
33,94005,37.700724949433784,-122.39692831966093,7165,Anissa,Sizzey,508 Alpine Place,6851,Brisbane
34,94005,37.68276760117008,-122.41202854875972,7164,Mellie,Berriball,85524 Carey Lane,6860,Brisbane
35,94005,37.691921744932344,-122.40343611966162,7163,Rod,Mugleston,8 Kenwood Road,6881,Brisbane
36,94005,37.68098317333197,-122.40333168414554,7162,Laurena,Calan,75869 Mccormick Way,6860,Brisbane
37,94005,37.69851501580283,-122.40320388834847,7161,Elisabetta,Rene,3481 Dixon Terrace,6881,Brisbane
38,94005,37.67479280843496,-122.4014700142355,7160,Florina,Martynikhin,881 Birchwood Crossing,6846,Brisbane
39,94005,37.69047824846659,-122.39581831468766,7153,Mendel,Fenelon,69601 Delladonna Point,6838,Brisbane
40,94005,37.70122281020612,-122.40136545015804,7154,Nicole,Pareman,5 Monterey Trail,6881,Brisbane
41,94005,37.68589941254506,-122.41025393837097,7155,Sonya,Puzey,3927 Spenser Pass,6860,Brisbane
42,94005,37.69161751699784,-122.41462964408473,7156,Almeria,Lethcoe,71945 Waxwing Hill,6881,Brisbane
43,94005,37.69382441586258,-122.42274799218673,7157,Kippar,Hoffmann,23 Mockingbird Street,6842,Brisbane
44,94005,37.689249035449876,-122.40482946399665,7159,Janela,Tompkiss,263 Heath Terrace,6881,Brisbane
45,94010,37.562179422469164,-122.36231420093056,7984,Amity,Chaplin,847 Gina Road,7764,Burlingame
46,94010,37.55896151468353,-122.3711315643593,7985,Cary,Lethem,19 Evergreen Hill,7761,Burlingame
47,94010,37.574327231989244,-122.35967005403312,7986,Gwenore,Lorait,99442 Hoard Street,7763,Burlingame
48,94010,37.57184445066525,-122.35783707874924,7987,Addy,Eagland,9 Northridge Center,7763,Burlingame
49,94010,37.561103830370214,-122.362257259919,7988,Libbey,Whyborne,3365 Pepper Wood Court,7764,Burlingame
50,94010,37.58117160330024,-122.36398313750064,7982,Ramon,Beazer,41 Portage Drive,7758,Burlingame
51,94010,37.56887388915032,-122.3734472132238,7983,Lorena,Bittleson,5 Anniversary Street,7759,Burlingame
52,94014,37.687143293892206,-122.4533988476302,7560,Faun,Denk,3 Quincy Street,7265,Daly City
53,94014,37.67938992112463,-122.43976987249721,7562,Bianca,Worsnup,79873 Crownhardt Parkway,7265,Daly City
54,94014,37.69166816350127,-122.4394084063693,7563,Jessalin,Tunuy,7 Northland Street,7265,Daly City
55,94014,37.69830785240252,-122.4465116336299,7538,Elisha,Le-Good,2 Morning Street,7265,Daly City
56,94014,37.6986300790545,-122.45728135434449,7539,Erma,Camel,4605 Glendale Place,7265,Daly City
57,94014,37.68829004808838,-122.44944909453552,7558,Chrysa,Leeb,9 Chinook Avenue,7265,Daly City
58,94014,37.68888186438874,-122.43253817539238,7559,Shelba,Sandison,98 Farwell Road,7265,Daly City
59,94014,37.692224056644804,-122.44455926412797,7561,Adi,Wylam,23 1st Park,7265,Daly City
60,94014,37.68646686740883,-122.44176482640742,7543,Clea,Shapland,295 Twin Pines Junction,7265,Daly City
61,94014,37.690931469992826,-122.43548313588126,7544,Irena,Weems,12 John Wall Terrace,7265,Daly City
62,94014,37.67915490305399,-122.44957907645738,7545,Essie,Forsythe,8408 Fallview Street,7273,Daly City
63,94014,37.686354750230244,-122.43980784866355,7546,Sofia,Hoovart,8443 Upham Drive,7265,Daly City
64,94014,37.67944335471175,-122.444078029028,7547,Celine,Cottisford,9501 Oriole Alley,7265,Daly City
65,94014,37.68356014969319,-122.45378143798892,7548,Candy,Metherell,93262 Vahlen Trail,7265,Daly City
66,94014,37.68431665368681,-122.44224048893166,7549,Ulrike,Shapero,5 Heath Plaza,7265,Daly City
